Habit,Date,Status,Comment
No Alcohol,2024-03-08,success,
No Alcohol,2024-03-09,fail,
No Alcohol,2024-03-10,success,
No Alcohol,2024-03-11,success,
No Alcohol,2024-03-12,success,
No Alcohol,2024-03-13,success,
No Alcohol,2024-03-14,fail,
No Alcohol,2024-03-15,fail,
No Alcohol,2024-03-16,fail,
No Smoking,2024-03-14,skip,
No Smoking,2024-03-16,success,
No Alcohol,2024-03-17,success,
No Alcohol,2024-03-18,success,
No Alcohol,2024-03-19,fail,
No Smoking,2024-03-18,success,
No Alcohol,2024-03-20,fail,
No Smoking,2024-03-07,skip,
No Alcohol,2024-09-10,success,
No Smoking,2024-03-08,skip,
No Alcohol,2024-09-12,skip,
No Alcohol,2024-09-13,skip,
No Smoking,2024-03-09,skip,
No Smoking,2024-03-10,skip,
No Smoking,2024-03-11,skip,
No Smoking,2024-03-12,skip,
No Smoking,2024-03-13,skip,
No Alcohol,2024-09-16,skip,
No Smoking,2024-03-15,skip,
No Smoking,2024-03-17,success,
No Smoking,2024-03-19,skip,
No Smoking,2024-03-20,fail,
No Alcohol,2024-03-21,success,
No Alcohol,2024-03-22,success,
No Alcohol,2024-03-23,success,
No Alcohol,2024-03-29,success,
No Smoking,2024-03-21,success,
No Smoking,2024-03-22,success,
No Alcohol,2024-09-09,fail,
No Smoking,2024-03-23,success,
No Alcohol,2024-03-24,success,
No Alcohol,2024-03-25,fail,
No Smoking,2024-03-24,success,
No Alcohol,2024-03-27,fail,
No Alcohol,2024-03-28,fail,
No Alcohol,2024-03-30,fail,
No Alcohol,2024-09-15,success,
No Smoking,2024-03-25,fail,
No Alcohol,2024-03-26,fail,
No Smoking,2024-03-26,fail,
No Smoking,2024-03-27,fail,
No Smoking,2024-03-28,fail,
No Alcohol,2024-03-31,success,
No Smoking,2024-03-29,success,
No Smoking,2024-03-30,fail,
No Smoking,2024-03-31,fail,
No Alcohol,2024-04-01,success,
No Alcohol,2024-04-02,skip,
No Alcohol,2024-04-03,success,
No Alcohol,2024-04-04,fail,
No Alcohol,2024-04-05,success,
No Alcohol,2024-04-06,fail,
No Alcohol,2024-04-07,fail,
No Alcohol,2024-04-08,success,
No Alcohol,2024-04-09,success,
No Alcohol,2024-04-10,fail,
No Alcohol,2024-04-11,success,
No Alcohol,2024-04-12,fail,
No Alcohol,2024-04-13,success,
No Alcohol,2024-04-14,success,
No Alcohol,2024-04-15,fail,
No Alcohol,2024-04-16,success,
No Alcohol,2024-04-17,success,
No Alcohol,2024-04-18,fail,
No Alcohol,2024-04-19,fail,
No Alcohol,2024-04-20,fail,
No Alcohol,2024-04-21,fail,
No Alcohol,2024-04-22,fail,
No Alcohol,2024-04-23,fail,
No Alcohol,2024-04-24,fail,
No Alcohol,2024-04-25,fail,
No Alcohol,2024-04-26,fail,
No Alcohol,2024-04-27,success,
No Alcohol,2024-04-28,fail,
No Alcohol,2024-04-29,success,
No Alcohol,2024-04-30,fail,
No Alcohol,2024-05-01,fail,
No Alcohol,2024-05-02,fail,
No Alcohol,2024-05-03,fail,
No Alcohol,2024-05-04,fail,
No Alcohol,2024-05-05,fail,
No Alcohol,2024-05-06,success,
No Alcohol,2024-05-07,success,
No Alcohol,2024-05-08,success,
No Alcohol,2024-05-09,success,
No Alcohol,2024-05-10,success,
No Alcohol,2024-05-11,success,
No Alcohol,2024-05-12,fail,
No Alcohol,2024-05-13,fail,
No Alcohol,2024-05-14,fail,
No Alcohol,2024-05-15,fail,
No Alcohol,2024-05-16,fail,
No Alcohol,2024-05-17,fail,
No Alcohol,2024-05-18,fail,
No Alcohol,2024-05-19,success,
No Alcohol,2024-05-20,success,
No Alcohol,2024-05-21,success,
No Alcohol,2024-05-22,success,
No Alcohol,2024-05-23,fail,
No Alcohol,2024-05-24,success,
No Alcohol,2024-05-25,fail,
No Alcohol,2024-05-26,success,
No Alcohol,2024-05-27,fail,
No Alcohol,2024-05-28,success,
No Alcohol,2024-05-29,success,
No Alcohol,2024-05-30,success,
No Alcohol,2024-05-31,fail,
No Alcohol,2024-06-01,fail,
No Alcohol,2024-06-02,success,
No Alcohol,2024-06-03,success,
No Alcohol,2024-06-16,success,
No Alcohol,2024-06-17,fail,
No Alcohol,2024-06-18,fail,
No Alcohol,2024-06-19,fail,
No Alcohol,2024-06-20,fail,
No Alcohol,2024-06-21,fail,
No Alcohol,2024-06-22,fail,
No Alcohol,2024-06-23,fail,
No Alcohol,2024-06-24,fail,
No Alcohol,2024-06-25,fail,
No Alcohol,2024-06-26,fail,
No Alcohol,2024-06-27,fail,
No Alcohol,2024-06-28,fail,
No Alcohol,2024-06-29,success,
No Alcohol,2024-06-30,fail,
No Alcohol,2024-07-01,success,
No Alcohol,2024-07-02,fail,
No Alcohol,2024-07-03,fail,
No Alcohol,2024-07-04,fail,
No Alcohol,2024-07-05,fail,
No Alcohol,2024-07-06,success,
No Alcohol,2024-07-07,success,
No Alcohol,2024-07-08,fail,
No Alcohol,2024-07-09,fail,
No Alcohol,2024-07-10,fail,
No Alcohol,2024-07-11,fail,
No Alcohol,2024-07-12,fail,
No Alcohol,2024-07-13,fail,
No Alcohol,2024-07-14,fail,
No Alcohol,2024-07-15,fail,
No Alcohol,2024-07-16,fail,
No Alcohol,2024-07-17,fail,
No Alcohol,2024-07-18,success,
No Alcohol,2024-07-19,success,
No Alcohol,2024-07-20,fail,
No Alcohol,2024-07-21,success,
No Alcohol,2024-07-22,success,
No Alcohol,2024-07-23,fail,
No Alcohol,2024-07-24,success,
No Alcohol,2024-07-25,fail,
No Alcohol,2024-07-26,fail,
No Alcohol,2024-07-27,fail,
No Alcohol,2024-07-28,fail,
No Alcohol,2024-07-29,success,
No Alcohol,2024-07-30,fail,
No Alcohol,2024-07-31,fail,
No Alcohol,2024-08-01,fail,
No Alcohol,2024-08-02,success,
No Alcohol,2024-08-03,fail,
No Alcohol,2024-08-04,fail,
No Alcohol,2024-08-05,success,
No Alcohol,2024-08-06,success,
No Alcohol,2024-08-07,fail,
No Alcohol,2024-08-08,fail,
No Alcohol,2024-08-09,fail,
No Alcohol,2024-08-10,fail,
No Alcohol,2024-08-11,fail,
No Alcohol,2024-08-12,success,
No Alcohol,2024-08-13,fail,
No Alcohol,2024-08-14,fail,
No Alcohol,2024-08-15,fail,
