N°,id,name,up_to_date,archived,status,aired_episodes,seen_episodes,runtime,all_images.poster
1,353712,The Rising of the Shield Hero,False,False,Continuing,62,38,24,https://artworks.thetvdb.com/banners/v4/series/353712/posters/6071f9ca3ba43.jpg
2,348545,Demon Slayer: Kimetsu no Yaiba,False,False,Ended,63,44,26,https://artworks.thetvdb.com/banners/posters/5c90fdae8a262.jpg
3,312559,Drifters (2016),True,False,Ended,12,12,25,https://artworks.thetvdb.com/banners/v4/series/312559/posters/688783061fc0d.jpg
4,398544,Seirei Gensouki: Spirit Chronicles,False,False,Ended,24,12,24,https://artworks.thetvdb.com/banners/v4/series/398544/posters/60e17cbe8220a.jpg
5,304219,Marvel's Luke Cage,True,False,Ended,26,26,56,https://artworks.thetvdb.com/banners/posters/304219-2.jpg
6,402652,The Greatest Demon Lord Is Reborn as a Typical Nobody,True,False,Ended,12,12,24,https://artworks.thetvdb.com/banners/v4/series/402652/posters/620f5699ba12d.jpg
7,321209,Inuyashiki Last Hero,True,False,Ended,11,11,25,https://artworks.thetvdb.com/banners/v4/series/321209/posters/60ba8c82da17e.jpg
8,259972,Gravity Falls,True,False,Ended,40,41,26,https://artworks.thetvdb.com/banners/posters/259972-1.jpg
9,84912,Parks and Recreation,True,False,Ended,125,126,25,https://artworks.thetvdb.com/banners/posters/84912-1.jpg
10,270915,Peaky Blinders,False,False,Ended,36,0,59,https://artworks.thetvdb.com/banners/posters/5bfada9f00205.jpg
11,82807,Sekirei,True,False,Ended,25,25,25,https://artworks.thetvdb.com/banners/posters/82807-1.jpg
12,262093,Code:Breaker,True,False,Ended,13,13,20,https://artworks.thetvdb.com/banners/v4/series/262093/posters/6064d82d75fdb.jpg
13,321670,Is It Wrong to Try to Pick Up Girls in a Dungeon? On the Side: Sword Oratoria,True,False,Ended,12,12,25,https://artworks.thetvdb.com/banners/v4/series/321670/posters/64411ec9c195b.jpg
14,336139,Constantine: City of Demons,True,False,Ended,5,10,6,https://artworks.thetvdb.com/banners/posters/336139-3.jpg
15,378556,The God of High School,True,False,Ended,13,13,25,https://artworks.thetvdb.com/banners/v4/series/378556/posters/60ba6768b052c.jpg
16,306741,And You Thought There Is Never a Girl Online?,True,False,Ended,12,12,25,https://artworks.thetvdb.com/banners/posters/306741-1.jpg
17,355969,WATATEN!: an Angel Flew Down to Me,True,False,Ended,12,12,24,https://artworks.thetvdb.com/banners/posters/5bfb6830912d0.jpg
18,354179,Kengan Ashura,False,False,Continuing,52,0,25,https://artworks.thetvdb.com/banners/v4/series/354179/posters/6423553d86d85.jpg
19,355774,Dr. STONE,False,False,Continuing,81,36,24,https://artworks.thetvdb.com/banners/v4/series/355774/posters/60930ab8bd11d.jpg
20,369395,High School Prodigies Have It Easy Even in Another World!,True,False,Ended,12,12,25,https://artworks.thetvdb.com/banners/posters/5d789aa9e2c7e.jpg
21,219131,IS: Infinite Stratos,True,False,Ended,24,24,25,https://artworks.thetvdb.com/banners/posters/219131-3.jpg
22,309530,91 Days,True,False,Ended,12,12,24,https://artworks.thetvdb.com/banners/posters/309530-6.jpg
23,309532,New Game!,True,False,Ended,24,24,25,https://artworks.thetvdb.com/banners/posters/309532-1.jpg
24,117081,The Sacred Blacksmith,True,False,Ended,12,12,25,https://artworks.thetvdb.com/banners/posters/117081-1.jpg
25,248742,Person of Interest,True,False,Ended,103,103,43,https://artworks.thetvdb.com/banners/posters/248742-1.jpg
26,350166,Goblin Slayer,False,False,Ended,24,12,24,https://artworks.thetvdb.com/banners/posters/5b5dc66cf178d.jpg
27,293088,One-Punch Man,True,False,Continuing,36,38,24,https://artworks.thetvdb.com/banners/v4/series/293088/posters/60a38fe89e639.jpg
28,411625,I'm Quitting Heroing,True,False,Ended,12,12,24,https://artworks.thetvdb.com/banners/v4/series/411625/posters/624bb6dd04d87.jpg
29,257888,Place to Place,True,False,Ended,12,12,25,https://artworks.thetvdb.com/banners/posters/257888-1.jpg
30,362696,The Witcher,False,False,Continuing,32,10,57,https://artworks.thetvdb.com/banners/series/362696/posters/62003331.jpg
31,329992,In Another World With My Smartphone,False,False,Ended,24,12,25,https://artworks.thetvdb.com/banners/posters/329992-2.jpg
32,275611,Witch Craft Works,True,False,Ended,12,12,25,https://artworks.thetvdb.com/banners/v4/series/275611/posters/66faf458c76eb.jpg
33,273690,Constantine,True,False,Ended,13,13,43,https://artworks.thetvdb.com/banners/series/273690/posters/5fedd7187a605.jpg
